timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2024-08-26T14:25:23,codecarbon,b4d314cd-3219-47ee-bce3-a52dabc6a524,1.0607688426971436,1.3793369740512772e-05,1.300318145227694e-05,42.5,0.0,165.20000553131104,1.2519382437070212e-05,0.0,4.846034196350615e-05,6.097972440057636e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-26T14:27:31,codecarbon,5fc87bf2-fd21-4cce-9517-d51584dce1b6,0.998589277267456,1.2979398755401492e-05,1.2997734955574902e-05,42.5,0.0,165.20000553131104,1.178482555680805e-05,0.0,4.559637815767625e-05,5.73812037144843e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-26T14:30:04,codecarbon,fee84529-395d-4201-9b8f-73d88291d44a,0.9686059951782228,1.2589247227675189e-05,1.299728402502689e-05,42.5,0.0,165.20000553131104,1.1431455777751076e-05,0.0,4.42249096207316e-05,5.565636539848268e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-26T14:30:55,codecarbon,33f03892-0cf6-4b06-930d-1ad650799700,0.9225749969482422,1.1983057326704244e-05,1.2988708090228584e-05,42.5,0.0,165.20000553131104,1.0887423488828872e-05,0.0,4.2089009899490295e-05,5.297643338831917e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-26T14:31:38,codecarbon,809111e2-a3ac-471f-ac9e-096a1903600c,0.963343620300293,1.2518698841620644e-05,1.2995050341142366e-05,42.5,0.0,165.20000553131104,1.1369091272354126e-05,0.0,4.397538361500305e-05,5.534447488735718e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-27T14:29:11,codecarbon,1d136900-4e12-4476-b732-ff9845dd15ee,1.0570390224456787,1.37332210115559e-05,1.2992160856825556e-05,42.5,0.0,165.20000553131104,1.2475149995750853e-05,0.0,4.823866020228934e-05,6.071381019804019e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-27T14:35:00,codecarbon,d2028d7b-1fb5-49c5-a425-d633a42961f9,1.0742404460906982,1.3914973983476576e-05,1.295331416175493e-05,42.5,0.0,165.20000553131104,1.2677999999788074e-05,0.0,4.883933003025921e-05,6.151733003004728e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-27T14:40:06,codecarbon,243bfeab-bf85-48eb-b15e-7a5fa08d9c5c,10.657837629318236,0.000139037257052,1.3045540933144944e-05,42.5,0.0,165.20000553131104,0.0001258182406425,0.0,0.0004888577794996,0.0006146760201421,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-27T14:43:00,codecarbon,0cfe3a01-da9f-4609-a87c-9be4bfef8710,1.0429198741912842,1.3558797989658323e-05,1.300080507159985e-05,42.5,0.0,165.20000553131104,1.230819539891349e-05,0.0,4.763450027058696e-05,5.994269566950045e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-27T14:43:53,codecarbon,a622152c-24d5-43d4-8c2b-a60b6ec48acf,1.066338300704956,1.385881507111511e-05,1.2996640054992914e-05,42.5,0.0,165.20000553131104,1.2584733300738869e-05,0.0,4.868432128517384e-05,6.126905458591271e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-27T14:46:04,codecarbon,6c1dbec7-c3f9-4767-af31-656305d64135,1.0670268535614014,1.3858093208987322e-05,1.2987576800652532e-05,42.5,0.0,165.20000553131104,1.259260310067071e-05,0.0,4.86732601727175e-05,6.126586327338822e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-27T14:48:06,codecarbon,ef14ad83-c409-463b-b066-944f9e092eba,1.0225772857666016,1.3280802166656186e-05,1.2987577908793356e-05,42.5,0.0,165.20000553131104,1.2067733042769965e-05,0.0,4.664595847545399e-05,5.871369151822396e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-27T15:23:42,codecarbon,368fc9d1-506c-492e-880c-501394c7d3e4,1.0360846519470217,1.347118170909694e-05,1.3002008748784908e-05,42.5,0.0,165.20000553131104,1.22279887398084e-05,0.0,4.732736020136182e-05,5.9555348941170224e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-27T15:27:25,codecarbon,f4e0a262-fffe-46b3-a978-e0c0f4a98d0b,1.0715420246124268,1.3933464024771985e-05,1.3003189520085944e-05,42.5,0.0,165.20000553131104,1.2646112673812445e-05,0.0,4.895296080570082e-05,6.159907347951326e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
2024-08-27T15:28:21,codecarbon,cd60749d-3043-4daf-a8ee-d227eb605fa7,1.0826053619384766,1.406073577022075e-05,1.2987868215472416e-05,42.5,0.0,165.20000553131104,1.2777073350217608e-05,0.0,4.938466147365527e-05,6.216173482387288e-05,Italy,ITA,,,,Linux-5.4.0-174-generic-x86_64-with-glibc2.35,3.11.9,2.2.3,48,Intel(R) Xeon(R) Silver 4214 CPU @ 2.20GHz,1,1 x GeForce RTX 2080 Ti,,,440.5333480834961,machine,N,1.0
